OMP_PROC_BIND,Threads,Tempo (s)
false,1,71.676
false,2,41.09
false,4,25.499
false,8,17.304
false,12,14.222
false,16,14.439
false,20,15.142
false,24,14.075
true,1,71.868
true,2,39.974
true,4,25.152
true,8,17.819
true,12,14.379
true,16,17.061
true,20,15.277
true,24,14.316
close,1,72.279
close,2,40.129
close,4,25.62
close,8,17.611
close,12,14.385
close,16,17.082
close,20,15.231
close,24,14.192
spread,1,71.945
spread,2,40.682
spread,4,25.166
spread,8,17.561
spread,12,14.44
spread,16,17.138
spread,20,15.346
spread,24,14.228
master,1,71.953
master,2,70.127
master,4,72.462
master,8,77.905
master,12,83.789
master,16,89.964
master,20,96.106
master,24,102.338
