Threads,Memory-Bound Time (s),Compute-Bound Time (s)
1,37.568509,50.260341
2,12.715823,26.011877
3,13.056133,18.784550
4,9.839827,14.967364
5,10.385980,14.171207
6,6.346188,13.413080
7,7.729494,12.561755
8,5.746733,12.610361
9,5.808970,12.788227
10,5.419905,12.734630
11,4.741660,12.596942
12,3.717534,12.696075
13,5.137783,12.468570
14,3.793133,12.770427
15,5.763687,12.529923
16,3.787158,12.464306
17,3.234128,12.991834
18,5.313083,12.660400
19,3.895133,12.785952
20,3.569142,12.536845
21,3.037752,12.933556
22,3.878648,13.143392
23,4.628341,13.008715
24,4.058261,12.554919
25,3.336171,12.832557
26,8.501144,13.375918
27,4.363455,14.159308
28,3.818714,15.335235
29,4.872361,15.830820
30,6.446567,15.459009
31,4.314522,14.677028
32,4.283122,14.547780
